ds,ico,nazev
9jic8np,27662179,"ABCERT AG, organizační složka"
dkkdkdj,62933591,Agentura ochrany přírody a krajiny České republiky
nntwcis,05108861,Agentura pro podnikání a inovace
cyrj9gf,71377999,Agentura pro podporu podnikání a investic CzechInvest
f7eike4,03009491,Agentura pro zdravotnický výzkum České republiky
kv6aewg,49546287,Agrární komora Beroun
b4vaewk,60112271,Agrární komora Chrudim
guzadjj,47674768,Agrární komora České republiky
6gqaew7,60112930,Okresní agrární komora Hradec Králové
9muaexk,28669096,Agrární komora Litoměřicka
ie5aeye,46355600,Okresní agrární komora v Mělníku
3bkaevs,46355014,Agrární komora okresu Benešov
3zpaey4,60110953,Agrární komora Náchod se sídlem v Náchodě
fx4ae2b,60069660,Agrární komora okresu Prachatice
vysafch,60067829,Agrární komora okresu Strakonice
nacae43,60112409,Agrární komora okresu Ústí nad Orlicí
csyaezw,70930520,Agrární komora Olomouckého kraje
wdiaezm,49786610,Okresní agrární komora Plzeň-jih
qrdae26,49710052,AGRÁRNÍ KOMORA PRAHA
zinae22,46355421,Agrární komora Příbram
4psae3f,48173207,Agrární komora Svitavy
hcaae8w,49789899,Okresní agrární komora v Tachově
w3mae4x,47676515,Agrární komora Valašska
7uwae4t,49970488,AGRÁRNÍ KOMORA ZNOJMO
ikwj9fx,61384984,Akademie múzických umění v Praze
fr6adt5,60165171,Akademie věd České republiky
nuvj88r,60461446,Akademie výtvarných umění v Praze
rnkb8uk,25800001,Alšová Naděžda - notářka
6r3afce,75112817,Archiv bezpečnostních složek
83usrk3,71447806,Aschenbrennerová Šárka - notářka
a86b8va,25800027,Audyová Vlasta - notářka
j2fb8v4,25800035,Augustýnová Jarmila - notářka
5kzb8vv,25800043,Bálek Jaroslav - notář
n7jb8wh,25800051,Bartáková Marie - notářka
xyub8wd,25800060,Bartoňová Zuzana - notářka
ic6g77w,66217211,"Bayer Aleš, JUDr. - soudní exekutor"
s6fg77q,66241146,"Bednář Richard, Mgr. - soudní exekutor"
bw9b8yk,44008457,Běhalová Renata - notářka
cqzg78f,66237211,"Bémová Jana, JUDr. - soudní exekutorka"
xtahwnq,02952530,"Beneš Jan, Mgr. - soudní exekutor"
hjeb8x2,25800086,Benková Jana - notářka
scpb8xw,75092115,Bernard Pavel - notář
cx2aize,47608676,Bezpečnostní informační služba
kqib8yf,25804391,Bičanová Gabriela - notářka
vhtb8yb,25800116,Bílek Petr - notář
w5mtvyh,01549782,Bílková Petra - notářka
zfwrryt,26978474,"Biokont CZ, s.r.o."
6a4b8y7,70553556,Bischofová Irena - notářka
e4db8zx,25800124,Bitter Libor - notář
pvnb8zt,16255011,Bláha Roman - notář
miag789,66240697,"Blažková Alena, JUDr., Ph. D. - soudní exekutorka"
ynxb8zq,25800141,Boháč Petr - notář
arekta3,61187836,"Brychta Bohumil, Mgr. - soudní exekutor"
d7itegh,42234140,"Bohutínský Jan, JUDr. - soudní exekutor"
9f8b8zk,25800175,Borská Jana - notářka
d5bsqq4,03586464,Borský David - notář
s2sb828,75018837,Bouček František - notář
3t3b824,25800191,Braná Běla - notářka
wbjg785,43880606,"Brančík Kamil, Mgr. - soudní exekutor"
cmcb83v,75066939,Brázda Richard - notář
64ug78z,66242355,"Bronec Milan, JUDr. - soudní exekutor"
v7wb83m,25800213,Březina Aleš - notář
ycka7jp,04512961,"Březinová Blanka, Mgr. - soudní exekutorka"
cehtqyt,72078201,"Bulvas Jiří, JUDr. - soudní exekutor"
fsgb849,25800230,Burda Josef - notář
qjrb846,25800248,Burdová Blanka - notářka
ia5s53q,26165007,"BUREAU VERITAS CZECH REPUBLIC, spol. s r.o."
zc2b842,25800256,Buroňová Radmila - notářka
yiu6rt7,71467866,"Bursa Aleš, Mgr. - soudní exekutor"
96bb84u,25800264,Buršíková Jarmila - notářka
jrsd6iz,04643569,Cafourková Andrea - notářka
ixkb85n,47968893,Cechlová Eva - notářka
tqvb85j,48452262,Celnarová Iva - notářka
fyyab92,71214011,Celní správa
fvjnzin,71214011,Celní úřad Praha Ruzyně
k8dny3x,71214011,Celní úřad pro hlavní město Prahu
jz5nz4j,71214011,Celní úřad pro Jihočeský kraj
mhqnzh6,71214011,Celní úřad pro Jihomoravský kraj
dpvnz2s,71214011,Celní úřad pro Karlovarský kraj
edynz54,71214011,Celní úřad pro Kraj Vysočina
64anzhu,71214011,Celní úřad pro Královéhradecký kraj
vznny3t,71214011,Celní úřad pro Liberecký kraj
ng6nz2n,71214011,Celní úřad pro Moravskoslezský kraj
utenz4d,71214011,Celní úřad pro Olomoucký kraj
8rtnz5p,71214011,Celní úřad pro Pardubický kraj
7g2ny62,71214011,Celní úřad pro Plzeňský kraj
xafnz2g,71214011,Celní úřad pro Středočeský kraj
gabny7s,71214011,Celní úřad pro Ústecký kraj
hi4nz6h,71214011,Celní úřad pro Zlínský kraj
mt6427q,04095316,Centrum pro regionální rozvoj České republiky
q6fb9yg,25800281,Chábová Ivana - notářka
pkjg8h8,69995206,"Chaloupka David, Mgr. - soudní exekutor"
ydug8h4,66242762,"Chaloupka Roman, JUDr. - soudní exekutor"
aqzb9z7,25800302,Chmelařová Jarmila - notářka
ubjb9zv,70956707,Chocová Irena - notářka
dv5b92j,46540482,Chodurová Lenka - notářka
865g8hy,66236568,"Chovanec Aleš, JUDr. - soudní exekutor"
44ub9zr,75099365,Chvistková Jarmila - notářka
fv5g79t,63386461,"Cingroš Josef, Mgr., Ing. - soudní exekutor"
qpeg79n,71244484,"Cink Libor, Mgr. - soudní exekutor"
4h6b85f,70554404,Culek Miloslav - notář
h4axdn8,67985726,"CZ.NIC, z.s.p.o."
m4qb863,25800345,Čechová Blanka - notářka
zgpg79i,41915909,"Čenovská Emilie, JUDr. - soudní exekutorka, jíž zanikl výkon exekutorského úřadu, zastoupená soudní exekutorkou JUDr. Janou Fojtovou"
whqpaay,01301136,Čepelová Olga - notářka
99yg79e,66243505,"Černošková Lenka, Mgr. - soudní exekutorka"
i29g8a8,64467261,"Černý Josef, JUDr. - soudní exekutor"
wvzb86x,67189181,Černý Ladislav - notář
7pab86s,25800361,Červínková Jarmila - notářka
fq8r9rg,01509527,Červová Alexandra - notářka
n69admd,66000777,ČESKÁ ADVOKÁTNÍ KOMORA
afrv7v6,00001171,Česká agentura na podporu obchodu/CzechTrade
5abj873,00023264,Česká filharmonie
siyhmun,00025798,Česká geologická služba
zr5efbb,41693205,Česká inspekce životního prostředí
x6gaeud,45769371,ČESKÁ KOMORA ARCHITEKTŮ
krvaigt,45770743,Česká komora autorizovaných inženýrů a techniků činných ve výstavbě
dpvadi7,40763021,ČESKÁ LÉKÁRNICKÁ KOMORA
36raiyk,43965024,Česká lékařská komora
8tgaiej,48136450,ČESKÁ NÁRODNÍ BANKA
x7cab34,00020869,Česká obchodní inspekce
8eqairg,00639613,Česká plemenářská inspekce
kr7cdry,47114983,"Česká pošta, s.p."
mk5ab8i,47672234,Česká průmyslová zdravotní pojišťovna
bykaigw,00006572,Česká republika - Kancelář Poslanecké sněmovny
44iaeqj,63839407,Česká republika - Kancelář Senátu
4ebr7ba,75123924,Česká rozvojová agentura
49kaiq3,00006963,Česká správa sociálního zabezpečení
yqaaih2,00224286,Česká stomatologická komora
g7zais9,00638994,Česká školní inspekce
weeab8c,00027383,ČESKÁ TELEVIZE
erpj9b8,47115068,"Česká tisková kancelář, povolená zkratka ČTK"
3hdj9cb,60460709,Česká zemědělská univerzita v Praze
p83j9ee,68407700,České vysoké učení technické v Praze
rn6aas6,00025844,Český báňský úřad
c4cnq5k,25677675,"Český institut pro akreditaci, o.p.s."
65msw6w,00177016,Český metrologický institut
rnaadje,45245053,ČESKÝ ROZHLAS
2gfaasy,00025593,Český statistický úřad
a9qaats,70106975,Český telekomunikační úřad
j2zaatn,70844844,Český úřad pro zkoušení zbraní a střeliva
uuaaatg,00025712,Český úřad zeměměřický a katastrální
q9ub87g,25800388,Čírtková Jana - notářka
z25b87c,46311076,Daňková Eva - notářka
aueb884,25800400,Demutová Ivana - notářka
4d7ev3x,60076127,"Dětský domov a Školní jídelna, Boršov nad Vltavou, Na Planýrce 168"
4nbi4yy,60084413,"Dětský domov, Základní škola a Školní jídelna, Horní Planá, Sídliště Míru 40"
emqgjzw,63284383,"Dětský domov,ZŠ a ŠJ"
ueyb88v,25800426,Divišová Helena - notářka
479b88r,25800434,Dolanová Jana - notářka
m8dg8bj,40658759,"Dolanský Pavel, Mgr. - soudní exekutor"
dzib89h,25804341,Doležal Josef - notář
nstb89d,25800442,Doleželová Pavla - notářka
da7rhvw,60077646,"Domov mládeže a Školní jídelna, České Budějovice, U Hvízdala 4"
jt4j542,60869798,"Domov mládeže a školní jídelna, Písek, Budějovická 1664"
xj4b89a,25800469,Doubravová Raisa - notářka
7sxg8bb,68619707,"Douchová Martina, Mgr. - soudní exekutorka"
8ddb894,25800477,Drášil Radim - notář
vi6aigp,75009561,Drážní inspekce
5mjaatd,61379425,Drážní úřad
g6nb9aw,25800485,Dřímal Svatopluk - notář
bihb9bf,25800507,Duchoňová Miroslava - notářka
yx9atbp,04510593,Duda Radim - notář
2q8b9ap,66202833,Dufková Eva - notářka
4igeshk,60869941,Dům dětí a mládeže
wwzfcfy,60077638,"Dům dětí a mládeže, České Budějovice, U Zimního stadionu 1"
av3thig,75044498,"Dům dětí a mládeže, Prachatice, Ševčíkova 273"
6uuf7da,42409152,"Dům dětí a mládeže,Jindřichův Hradec,Růžová 6"
gj8g8c6,70931135,"Dvořáčková Marcela, JUDr. - soudní exekutorka"
rdhg8cy,66251508,"Dvořák Miloš, Mgr. - soudní exekutor"
u43b9b7,25800531,Dvořáková Hana - notářka
epmb9cu,25800540,Dvořáková Václava - notářka
z6sg8cu,64556565,"Elfmarková Monika, JUDr. - soudní exekutorka"
nwksqqy,03586707,Elšík Petr - notář
pgwb9cq,64627446,Elšíková Jana - notářka
uzmtqf3,69986924,"Ender Pavel, Mgr. - soudní exekutor"
x97b9ck,15060667,Endrlová Jarmila - notářka
eeuaau7,70894451,Energetický regulační úřad
ax3g8dn,49639200,"Erben Ivan, JUDr. - soudní exekutor"
4d8shnc,72073462,"Erbert Ivo, JUDr. - soudní exekutor"
83gb9ce,25800574,Ertelt Ivan - notář
3kfc3xg,00006599,Etická komise České republiky pro ocenění účastníků odboje a odporu proti komunismu
vfrai9p,70940517,Exekutorská komora České republiky
4p6tecf,72073586,"Exner Filip, JUDr. - soudní exekutor"
sm2b9d5,25800604,Fajová Magda - notářka
3fbb9dx,25800612,Fajtová Marie - notářka
ygpjtvh,49625195,"Fakultní základní škola, Praha 9 - Horní Počernice, Chodovická 2250"
b8kb9er,25800621,Famfulíková Jitka - notářka
jrcg8dh,75128446,"Fendrych Jan, JUDr. - soudní exekutor"
kzvb9em,25800639,Ferešová Stanislava - notářka
vs6b9eh,25800647,Fianová Marcela - notářka
6kfb9ec,63454831,Filipi Marie - notářka
7uxxh3e,72083581,Filipová Jana - notářka
7nyn2d9,72080043,Finanční úřad pro hlavní město Prahu
scdnz6b,72080043,Finanční úřad pro Jihočeský kraj
qdhny4c,72080043,Finanční úřad pro Jihomoravský kraj
q9in2ev,72080043,Finanční úřad pro Karlovarský kraj
