ico,of,kpf,npf,dv,dz,esak,esa,kpp,nacek,nace
00000078,LESNÍ SPRÁVA,331,Příspěvková organizace,1974-01-01,,13110,Ústřední vládní instituce,50 - 99 zaměstnanců,02100,Lesní hospodářství a jiné činnosti v oblasti lesnictví
00000175,DIPLOMATICKÝ SERVIS,331,Příspěvková organizace,1972-01-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,6820,Pronájem a správa vlastních nebo pronajatých nemovitostí
00000205,"Vojenské lesy a statky ČR, s.p.",301,Státní podnik,1972-01-01,,11001,Nefinanční podniky veřejné,3000 - 3999 zaměstnanců,02200,Těžba dřeva
00000493,"VOP CZ, s.p.",301,Státní podnik,1991-12-09,,11001,Nefinanční podniky veřejné,500 - 999 zaměstnanců,28220,Výroba zdvihacích a manipulačních zařízení
00000515,LOM PRAHA s.p.,301,Státní podnik,1974-01-01,,11001,Nefinanční podniky veřejné,500 - 999 zaměstnanců,33160,Opravy a údržba letadel a kosmických lodí
00000582,Vojenská lázeňská a rekreační zařízení,331,Příspěvková organizace,1981-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,55200,Rekreační a ostatní krátkodobé ubytování
00001279,"STÁTNÍ TISKÁRNA CENIN, státní podnik",301,Státní podnik,1972-01-01,,11001,Nefinanční podniky veřejné,250 - 499 zaměstnanců,18120,"Tisk ostatní, kromě novin"
00001350,"Československá obchodní banka, a. s.",121,Akciová společnost,1990-01-26,,12203,Instituce přijímající vklady kromě centrální banky pod zahraniční kontrolou,5000 - 9999 zaměstnanců,64190,Ostatní peněžní zprostředkování
00001490,"Strojírenský zkušební ústav, s.p.",301,Státní podnik,1972-01-01,,11001,Nefinanční podniky veřejné,100 - 199 zaměstnanců,71209,Ostatní technické zkoušky a analýzy
00002739,"DIAMO, státní podnik",301,Státní podnik,1991-01-01,,11001,Nefinanční podniky veřejné,2500 - 2999 zaměstnanců,07211,Těžba uranových a thoriových rud
00005886,"Dopravní podnik hl.m. Prahy ,akciová společnost",121,Akciová společnost,1991-04-01,,11001,Nefinanční podniky veřejné,10 000 a více zam.,49310,Městská a příměstská pozemní osobní doprava
00005886,"Dopravní podnik hl.m. Prahy ,akciová společnost",121,Akciová společnost,1991-04-01,,11001,Nefinanční podniky veřejné,10 000 a více zam.,49310,Městská a příměstská pozemní osobní doprava
00006572,Česká republika - Kancelář Poslanecké sněmovny,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00006947,Ministerstvo financí,325,Organizační složka státu,1988-04-21,,13110,Ústřední vládní instituce,1500 - 1999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00006963,Česká správa sociálního zabezpečení,325,Organizační složka státu,1991-12-13,,13110,Ústřední vládní instituce,5000 - 9999 zaměstnanců,84300,Činnosti v oblasti povinného sociálního zabezpečení
00007064,Ministerstvo vnitra,325,Organizační složka státu,1988-04-21,,13110,Ústřední vládní instituce,5000 - 9999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00007536,"Palivový kombinát Ústí, státní podnik",301,Státní podnik,1991-01-01,,11001,Nefinanční podniky veřejné,250 - 499 zaměstnanců,39000,Sanace a jiné činnosti související s odpady
00009709,"TESLA, akciová společnost",121,Akciová společnost,1991-01-01,,11003,Nefinanční podniky soukromé pod zahraniční kontrolou,20 - 24 zaměstnanci,26300,Výroba komunikačních zařízení
00011754,Linde Gas a.s.,121,Akciová společnost,1991-01-01,,11003,Nefinanční podniky soukromé pod zahraniční kontrolou,500 - 999 zaměstnanců,20110,Výroba technických plynů
00011771,Hexion a.s.,121,Akciová společnost,1991-05-23,,11003,Nefinanční podniky soukromé pod zahraniční kontrolou,250 - 499 zaměstnanců,2014,Výroba jiných základních organických chemických látek
00011789,"Spolek pro chemickou a hutní výrobu, akciová společnost",121,Akciová společnost,1972-01-01,,11002,Nefinanční podniky soukromé národní,500 - 999 zaměstnanců,20160,Výroba plastů v primárních formách
00012122,"Gumárny Zubří, akciová společnost",121,Akciová společnost,1991-01-01,,11002,Nefinanční podniky soukromé národní,500 - 999 zaměstnanců,22190,Výroba ostatních pryžových výrobků
00012131,RUBENA a. s.,121,Akciová společnost,1974-01-01,,11002,Nefinanční podniky soukromé národní,1500 - 1999 zaměstnanců,22190,Výroba ostatních pryžových výrobků
00012190,MITAS a.s.,121,Akciová společnost,1991-01-01,,11002,Nefinanční podniky soukromé národní,2500 - 2999 zaměstnanců,22110,Výroba pryžových plášťů a duší; protektorování pneumatik
00012556,"PRECIOSA, a.s.",121,Akciová společnost,1978-01-01,,11002,Nefinanční podniky soukromé národní,2000 - 2499 zaměstnanců,23190,Výroba a zpracování ostatního skla vč. technického
00013226,TONAK a.s.,121,Akciová společnost,1988-01-01,,11003,Nefinanční podniky soukromé pod zahraniční kontrolou,500 - 999 zaměstnanců,14190,Výroba ostatních oděvů a oděvních doplňků
00014010,"České dřevařské závody Praha, a.s.",121,Akciová společnost,1991-01-01,,11002,Nefinanční podniky soukromé národní,25 - 49 zaměstnanců,16230,Výroba ostatních výrobků stavebního truhlářství a tesařství
00014915,Metrostav a.s.,121,Akciová společnost,1991-01-01,,11002,Nefinanční podniky soukromé národní,2500 - 2999 zaměstnanců,4120,Výstavba bytových a nebytových budov
00020478,Ministerstvo zemědělství,325,Organizační složka státu,1981-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
